timestamp,source_ip,data
2026-05-18 11:35:57,192.168.1.100,51;-9.37;-2.31;-3.20;-0.01;-0.15;-0.08
2026-05-18 11:35:57,192.168.1.100,52;-9.27;-2.22;-2.84;-0.02;-0.15;-0.06
2026-05-18 11:35:57,192.168.1.100,53;-9.31;-2.23;-2.76;-0.05;-0.16;-0.05
2026-05-18 11:35:57,192.168.1.100,54;-9.62;-2.18;-2.98;-0.09;-0.17;-0.05
2026-05-18 11:35:57,192.168.1.100,55;-9.76;-2.24;-3.25;-0.11;-0.21;-0.05
2026-05-18 11:35:57,192.168.1.100,56;-9.87;-2.23;-3.54;-0.11;-0.23;-0.06
2026-05-18 11:35:57,192.168.1.100,57;-9.69;-2.24;-3.92;-0.10;-0.22;-0.09
2026-05-18 11:35:58,192.168.1.100,58;-9.99;-2.40;-4.18;-0.05;-0.11;-0.15
2026-05-18 11:35:58,192.168.1.100,59;-10.39;-2.48;-4.30;-0.02;-0.27;-0.14
2026-05-18 11:35:58,192.168.1.100,60;-10.49;-2.38;-4.18;0.01;-0.39;-0.14
2026-05-18 11:35:58,192.168.1.100,61;-10.90;-2.21;-3.88;0.05;-0.49;-0.16
2026-05-18 11:35:58,192.168.1.100,62;-10.97;-2.15;-3.43;0.10;-0.50;-0.24
2026-05-18 11:35:58,192.168.1.100,63;-10.77;-2.10;-3.16;0.15;-0.31;-0.38
2026-05-18 11:35:58,192.168.1.100,64;-10.68;-2.15;-2.96;0.15;-0.22;-0.49
2026-05-18 11:35:58,192.168.1.100,65;-10.16;-2.24;-2.80;0.14;-0.21;-0.56
2026-05-18 11:35:58,192.168.1.100,66;-9.35;-2.45;-2.72;0.17;0.07;-0.67
2026-05-18 11:35:58,192.168.1.100,67;-8.98;-2.63;-2.77;0.17;0.12;-0.68
2026-05-18 11:35:59,192.168.1.100,68;-7.94;-2.82;-2.73;0.14;0.07;-0.65
2026-05-18 11:35:59,192.168.1.100,69;-6.85;-3.12;-2.63;0.15;0.23;-0.61
2026-05-18 11:35:59,192.168.1.100,70;-6.32;-3.31;-2.43;0.16;0.36;-0.51
2026-05-18 11:35:59,192.168.1.100,71;-5.84;-3.40;-2.26;0.14;0.34;-0.33
2026-05-18 11:35:59,192.168.1.100,72;-5.60;-3.35;-2.15;0.10;0.32;-0.11
2026-05-18 11:35:59,192.168.1.100,73;-5.99;-3.28;-2.26;0.03;0.23;0.14
2026-05-18 11:35:59,192.168.1.100,74;-6.48;-3.05;-2.48;-0.04;0.16;0.35
2026-05-18 11:35:59,192.168.1.100,75;-7.51;-2.89;-2.72;-0.11;0.04;0.52
2026-05-18 11:35:59,192.168.1.100,76;-8.49;-2.76;-3.01;-0.16;-0.03;0.62
2026-05-18 11:35:59,192.168.1.100,77;-9.59;-2.61;-3.30;-0.17;-0.05;0.63
2026-05-18 11:36:00,192.168.1.100,78;-10.60;-2.48;-3.68;-0.17;-0.10;0.59
2026-05-18 11:36:00,192.168.1.100,79;-11.33;-2.36;-4.00;-0.15;-0.14;0.51
2026-05-18 11:36:00,192.168.1.100,80;-11.95;-2.24;-4.18;-0.11;-0.18;0.40
2026-05-18 11:36:00,192.168.1.100,81;-12.04;-2.15;-4.28;-0.06;-0.15;0.24
2026-05-18 11:36:00,192.168.1.100,82;-12.06;-2.09;-4.31;0.01;-0.06;0.05
2026-05-18 11:36:00,192.168.1.100,83;-11.87;-2.07;-4.26;0.07;-0.01;-0.12
2026-05-18 11:36:00,192.168.1.100,84;-11.43;-2.12;-4.14;0.12;-0.01;-0.25
2026-05-18 11:36:00,192.168.1.100,85;-10.84;-2.26;-3.95;0.15;0.00;-0.35
2026-05-18 11:36:00,192.168.1.100,86;-10.30;-2.43;-3.75;0.18;0.00;-0.42
2026-05-18 11:36:00,192.168.1.100,87;-9.71;-2.52;-3.56;0.19;0.00;-0.46
2026-05-18 11:36:00,192.168.1.100,88;-9.23;-2.64;-3.37;0.19;0.01;-0.48
2026-05-18 11:36:01,192.168.1.100,89;-9.08;-2.71;-3.21;0.19;0.02;-0.46
2026-05-18 11:36:01,192.168.1.100,90;-8.76;-2.80;-3.13;0.17;-0.04;-0.42
2026-05-18 11:36:01,192.168.1.100,91;-8.74;-2.81;-3.09;0.16;-0.01;-0.39
2026-05-18 11:36:01,192.168.1.100,92;-8.67;-2.84;-2.97;0.15;-0.03;-0.35
2026-05-18 11:36:01,192.168.1.100,93;-8.67;-2.87;-2.78;0.15;-0.01;-0.32
2026-05-18 11:36:01,192.168.1.100,94;-9.23;-2.85;-2.58;0.12;-0.02;-0.28
2026-05-18 11:36:01,192.168.1.100,95;-9.55;-2.80;-2.32;0.06;-0.13;-0.24
2026-05-18 11:36:01,192.168.1.100,96;-9.62;-2.71;-2.13;0.02;-0.08;-0.28
2026-05-18 11:36:01,192.168.1.100,97;-9.76;-2.66;-2.10;-0.03;0.04;-0.36
2026-05-18 11:36:01,192.168.1.100,98;-9.89;-2.72;-2.16;-0.09;0.10;-0.42
2026-05-18 11:36:01,192.168.1.100,99;-10.17;-2.76;-2.40;-0.17;0.01;-0.43
2026-05-18 11:36:01,192.168.1.100,100;-10.03;-2.77;-2.65;-0.23;-0.07;-0.45
2026-05-18 11:36:01,192.168.1.100,101;-10.06;-2.85;-3.03;-0.26;-0.01;-0.53
2026-05-18 11:36:02,192.168.1.100,102;-9.92;-2.97;-3.55;-0.28;-0.00;-0.59
2026-05-18 11:36:02,192.168.1.100,103;-9.56;-3.08;-4.36;-0.27;0.06;-0.66
2026-05-18 11:36:02,192.168.1.100,104;-9.38;-3.44;-5.49;-0.24;0.09;-0.71
2026-05-18 11:36:02,192.168.1.100,105;-8.39;-3.86;-6.40;-0.13;0.16;-0.75
2026-05-18 11:36:02,192.168.1.100,106;-7.72;-4.32;-7.01;0.09;0.43;-0.81
2026-05-18 11:36:02,192.168.1.100,107;-7.24;-4.69;-7.08;0.25;0.15;-0.71
2026-05-18 11:36:02,192.168.1.100,108;-5.40;-4.93;-6.59;0.46;0.19;-0.59
2026-05-18 11:36:02,192.168.1.100,109;-4.60;-4.95;-5.96;0.66;0.33;-0.44
2026-05-18 11:36:02,192.168.1.100,110;-3.92;-4.92;-5.02;0.76;0.23;-0.18
2026-05-18 11:36:02,192.168.1.100,111;-2.75;-4.64;-4.42;0.84;0.28;0.11
2026-05-18 11:36:04,192.168.1.100,112;-2.98;-4.29;-3.26;0.84;0.24;0.45
2026-05-18 11:36:04,192.168.1.100,113;-2.90;-4.15;-2.70;0.81;0.26;0.77
2026-05-18 11:36:04,192.168.1.100,114;-3.57;-3.62;-1.67;0.73;0.15;1.11
2026-05-18 11:36:04,192.168.1.100,115;-5.50;-2.90;-0.11;0.59;-0.15;1.48
2026-05-18 11:36:04,192.168.1.100,116;-7.19;-1.93;1.57;0.37;-0.35;1.75
2026-05-18 11:36:04,192.168.1.100,117;-8.99;-1.02;3.12;0.03;-0.55;1.85
2026-05-18 11:36:04,192.168.1.100,118;-10.94;-0.62;3.50;-0.37;-0.42;1.74
2026-05-18 11:36:04,192.168.1.100,119;-13.32;-0.37;2.49;-0.78;-0.37;1.55
2026-05-18 11:40:25,192.168.1.100,0;-5.30;-7.51;-2.75;-0.08;-0.05;0.08
2026-05-18 11:40:25,192.168.1.100,1;-5.27;-7.57;-3.05;-0.10;-0.09;0.11
2026-05-18 11:40:25,192.168.1.100,2;-5.11;-7.55;-3.27;-0.11;-0.13;0.15
2026-05-18 11:40:25,192.168.1.100,3;-4.98;-7.59;-3.41;-0.08;-0.09;0.17
2026-05-18 11:40:25,192.168.1.100,4;-4.69;-7.44;-3.43;-0.04;0.03;0.18
2026-05-18 11:40:25,192.168.1.100,5;-4.56;-7.40;-3.38;-0.01;0.23;0.19
2026-05-18 11:40:25,192.168.1.100,6;-4.60;-7.45;-3.30;-0.03;0.20;0.27
2026-05-18 11:40:25,192.168.1.100,7;-4.16;-7.41;-3.17;-0.05;0.16;0.37
2026-05-18 11:40:25,192.168.1.100,8;-4.03;-7.42;-3.01;-0.08;0.14;0.49
2026-05-18 11:40:25,192.168.1.100,9;-3.50;-7.18;-2.63;-0.09;0.18;0.61
2026-05-18 11:40:25,192.168.1.100,10;-2.94;-6.81;-2.05;-0.10;0.39;0.69
2026-05-18 11:40:25,192.168.1.100,11;-2.08;-6.43;-1.31;-0.17;0.62;0.81
2026-05-18 11:40:26,192.168.1.100,12;-2.25;-6.60;-0.62;-0.28;0.92;0.99
2026-05-18 11:40:26,192.168.1.100,13;-3.18;-6.10;-0.49;-0.53;0.74;1.34
2026-05-18 11:40:26,192.168.1.100,14;-4.38;-5.26;-1.00;-0.81;0.44;1.67
2026-05-18 11:40:26,192.168.1.100,15;-5.84;-4.56;-1.70;-1.06;0.08;1.90
2026-05-18 11:40:26,192.168.1.100,16;-6.63;-4.19;-2.16;-1.18;-0.03;1.96
2026-05-18 11:40:26,192.168.1.100,17;-6.35;-3.76;-2.11;-1.15;0.43;1.82
2026-05-18 11:40:26,192.168.1.100,18;-7.21;-3.59;-2.27;-1.13;1.10;1.62
2026-05-18 11:40:26,192.168.1.100,19;-8.35;-3.16;-2.93;-1.30;0.97;1.64
2026-05-18 11:40:26,192.168.1.100,20;-9.93;-2.99;-3.81;-1.50;0.48;1.75
2026-05-18 11:40:26,192.168.1.100,21;-12.29;-2.57;-4.84;-1.72;-0.39;1.91
2026-05-18 11:40:26,192.168.1.100,22;-15.29;-2.22;-5.73;-1.88;-1.34;1.98
2026-05-18 11:40:26,192.168.1.100,23;-18.92;-1.81;-6.20;-1.98;-2.20;1.87
2026-05-18 11:40:26,192.168.1.100,24;-23.73;-1.21;-6.83;-2.13;-3.19;1.58
2026-05-18 11:40:26,192.168.1.100,25;-25.90;-0.91;-7.46;-2.20;-3.73;0.88
2026-05-18 11:40:26,192.168.1.100,26;-25.46;-0.93;-8.96;-1.97;-3.07;-0.35
2026-05-18 11:40:27,192.168.1.100,27;-22.63;-1.68;-11.50;-1.38;-1.56;-1.81
2026-05-18 11:40:29,192.168.1.100,28;-17.25;-2.76;-14.20;-0.63;-0.26;-2.95
2026-05-18 11:40:29,192.168.1.100,29;-9.79;-4.28;-15.88;0.13;0.19;-3.52
2026-05-18 11:40:29,192.168.1.100,30;-2.29;-5.93;-15.90;0.97;0.64;-3.65
2026-05-18 11:40:29,192.168.1.100,31;3.91;-7.02;-14.18;1.84;1.23;-3.25
2026-05-18 11:40:29,192.168.1.100,32;8.12;-7.29;-11.15;2.53;1.80;-2.45
2026-05-18 11:40:29,192.168.1.100,33;10.40;-7.16;-7.34;2.89;2.11;-1.45
2026-05-18 11:40:29,192.168.1.100,34;12.50;-6.64;-2.46;2.99;2.50;-0.36
2026-05-18 11:40:29,192.168.1.100,35;13.06;-5.54;3.11;2.88;3.44;0.62
2026-05-18 11:40:29,192.168.1.100,36;10.96;-3.39;7.98;2.31;3.86;1.59
2026-05-18 11:40:29,192.168.1.100,37;6.03;-1.09;11.96;1.27;3.94;2.49
2026-05-18 11:40:29,192.168.1.100,38;-0.67;1.40;13.34;-0.29;2.47;3.53
2026-05-18 11:40:29,192.168.1.100,39;-7.43;4.25;11.67;-1.85;0.69;4.25
2026-05-18 11:40:29,192.168.1.100,40;-13.84;5.90;7.78;-3.03;-0.54;4.43
2026-05-18 11:40:29,192.168.1.100,41;-19.79;6.34;3.31;-3.74;-1.34;4.12
2026-05-18 11:40:29,192.168.1.100,42;-24.07;5.58;-1.26;-4.07;-1.73;3.38
2026-05-18 11:40:29,192.168.1.100,43;-27.35;4.50;-5.18;-4.08;-1.94;2.48
